bill_id,bill_number,bioguide_id,vote_position,vote_date,roll_call_number,chamber,party,state,district
,,F000463,Not Voting,2026-02-25,40,senate,R,NE,
,,G000574,Nay,2026-02-25,40,senate,D,AZ,
,,G000555,Nay,2026-02-25,40,senate,D,NY,
,,G000359,Yea,2026-02-25,40,senate,R,SC,
,,G000386,Yea,2026-02-25,40,senate,R,IA,
,,H000601,Yea,2026-02-25,40,senate,R,TN,
,,H001076,Not Voting,2026-02-25,40,senate,D,NH,
,,H001089,Yea,2026-02-25,40,senate,R,MO,
,,H001046,Nay,2026-02-25,40,senate,D,NM,
,,H000273,Nay,2026-02-25,40,senate,D,CO,
,,H001042,Nay,2026-02-25,40,senate,D,HI,
,,H001061,Yea,2026-02-25,40,senate,R,ND,
,,H001104,Yea,2026-02-25,40,senate,R,OH,
,,H001079,Yea,2026-02-25,40,senate,R,MS,
,,J000293,Yea,2026-02-25,40,senate,R,WI,
,,J000312,Yea,2026-02-25,40,senate,R,WV,
,,K000384,Nay,2026-02-25,40,senate,D,VA,
,,K000377,Nay,2026-02-25,40,senate,D,AZ,
,,K000393,Yea,2026-02-25,40,senate,R,LA,
,,K000394,Nay,2026-02-25,40,senate,D,NJ,
,,K000383,Nay,2026-02-25,40,senate,I,ME,
,,K000367,Nay,2026-02-25,40,senate,D,MN,
,,L000575,Yea,2026-02-25,40,senate,R,OK,
,,L000577,Yea,2026-02-25,40,senate,R,UT,
,,L000570,Nay,2026-02-25,40,senate,D,NM,
,,L000571,Yea,2026-02-25,40,senate,R,WY,
,,M000133,Nay,2026-02-25,40,senate,D,MA,
,,M001198,Yea,2026-02-25,40,senate,R,KS,
,,M000355,Yea,2026-02-25,40,senate,R,KY,
,,M001243,Yea,2026-02-25,40,senate,R,PA,
,,M001176,Nay,2026-02-25,40,senate,D,OR,
,,M001244,Yea,2026-02-25,40,senate,R,FL,
,,M000934,Yea,2026-02-25,40,senate,R,KS,
,,M001242,Yea,2026-02-25,40,senate,R,OH,
,,M001190,Yea,2026-02-25,40,senate,R,OK,
,,M001153,Yea,2026-02-25,40,senate,R,AK,
,,M001169,Nay,2026-02-25,40,senate,D,CT,
,,M001111,Nay,2026-02-25,40,senate,D,WA,
,,O000174,Nay,2026-02-25,40,senate,D,GA,
,,P000145,Nay,2026-02-25,40,senate,D,CA,
,,P000603,Not Voting,2026-02-25,40,senate,R,KY,
,,P000595,Nay,2026-02-25,40,senate,D,MI,
,,R000122,Nay,2026-02-25,40,senate,D,RI,
,,R000618,Yea,2026-02-25,40,senate,R,NE,
,,R000584,Yea,2026-02-25,40,senate,R,ID,
