bioguide_id,official_name,party,state,industry_code,industry_name,total_amount,contribution_count,pct_of_total
K000400,Sydney Kamlager-Dove,Democratic,CA,H01,Health Professionals,1000,1,0.14
K000400,Sydney Kamlager-Dove,Democratic,CA,F10,Real Estate,12000,1,1.72
T000486,Ritchie Torres,Democratic,NY,F03,Securities & Investment,57500,10,1.12
T000486,Ritchie Torres,Democratic,NY,D01,Defense Aerospace,24500,6,0.48
T000486,Ritchie Torres,Democratic,NY,F09,Mortgage Bankers & Brokers,55000,12,1.07
T000486,Ritchie Torres,Democratic,NY,F10,Real Estate,14500,2,0.28
T000486,Ritchie Torres,Democratic,NY,B08,Telecom Services & Equipment,3500,2,0.07
T000486,Ritchie Torres,Democratic,NY,B12,Computer/Internet,3500,2,0.07
T000486,Ritchie Torres,Democratic,NY,M01,Air Transport,10000,2,0.19
T000486,Ritchie Torres,Democratic,NY,H03,Health Services/HMOs,3500,2,0.07
T000486,Ritchie Torres,Democratic,NY,E12,Electric Utilities,1500,1,0.03
T000486,Ritchie Torres,Democratic,NY,H04,Pharmaceuticals/Health Products,1000,1,0.02
P000048,August Pfluger,Republican,TX,B08,Telecom Services & Equipment,60500,9,1.35
P000048,August Pfluger,Republican,TX,H03,Health Services/HMOs,16500,3,0.37
P000048,August Pfluger,Republican,TX,E01,Oil & Gas,164500,19,3.68
P000048,August Pfluger,Republican,TX,H05,Misc Health,1000,1,0.02
P000048,August Pfluger,Republican,TX,M02,Automotive,10000,2,0.22
P000048,August Pfluger,Republican,TX,B12,Computer/Internet,12000,4,0.27
P000048,August Pfluger,Republican,TX,H04,Pharmaceuticals/Health Products,41000,14,0.92
P000048,August Pfluger,Republican,TX,F09,Mortgage Bankers & Brokers,26000,8,0.58
P000048,August Pfluger,Republican,TX,D01,Defense Aerospace,37500,9,0.84
P000048,August Pfluger,Republican,TX,F03,Securities & Investment,16500,4,0.37
P000048,August Pfluger,Republican,TX,N00,Misc Business,3000,1,0.07
P000048,August Pfluger,Republican,TX,C50,Building Materials & Equipment,13000,2,0.29
P000048,August Pfluger,Republican,TX,M01,Air Transport,8500,3,0.19
P000048,August Pfluger,Republican,TX,H01,Health Professionals,6000,3,0.13
P000048,August Pfluger,Republican,TX,F10,Real Estate,15000,1,0.34
P000048,August Pfluger,Republican,TX,E12,Electric Utilities,2500,1,0.06
P000048,August Pfluger,Republican,TX,B09,Electronics Mfg & Services,1000,1,0.02
P000145,Alex Padilla,Democratic,CA,B12,Computer/Internet,15100,4,2.26
P000145,Alex Padilla,Democratic,CA,D01,Defense Aerospace,18000,4,2.7
P000145,Alex Padilla,Democratic,CA,H02,Hospitals/Nursing Homes,5000,1,0.75
P000145,Alex Padilla,Democratic,CA,H04,Pharmaceuticals/Health Products,1000,3,0.15
P000145,Alex Padilla,Democratic,CA,H03,Health Services/HMOs,5000,2,0.75
P000145,Alex Padilla,Democratic,CA,K01,Lawyers/Law Firms,2000,1,0.3
P000145,Alex Padilla,Democratic,CA,B02,TV/Movies/Music,2500,2,0.37
P000145,Alex Padilla,Democratic,CA,F03,Securities & Investment,10000,3,1.5
C001126,Mike Carey,Republican,OH,F09,Mortgage Bankers & Brokers,86000,13,3.07
C001126,Mike Carey,Republican,OH,E01,Oil & Gas,46800,11,1.67
C001126,Mike Carey,Republican,OH,H03,Health Services/HMOs,40000,7,1.43
C001126,Mike Carey,Republican,OH,F03,Securities & Investment,27500,4,0.98
C001126,Mike Carey,Republican,OH,C50,Building Materials & Equipment,13000,2,0.46
C001126,Mike Carey,Republican,OH,M02,Automotive,24500,4,0.87
C001126,Mike Carey,Republican,OH,E19,Alternative Energy,14750,5,0.53
C001126,Mike Carey,Republican,OH,H04,Pharmaceuticals/Health Products,83500,19,2.98
B000740,Stephanie I. Bice,Republican,OK,E01,Oil & Gas,75500,11,3.92
B000740,Stephanie I. Bice,Republican,OK,D01,Defense Aerospace,102000,10,5.3
B000740,Stephanie I. Bice,Republican,OK,F03,Securities & Investment,14000,2,0.73
B000740,Stephanie I. Bice,Republican,OK,F09,Mortgage Bankers & Brokers,50000,7,2.6
B000740,Stephanie I. Bice,Republican,OK,H04,Pharmaceuticals/Health Products,17100,7,0.89
B000740,Stephanie I. Bice,Republican,OK,D03,Misc Defense,15000,1,0.78
B000740,Stephanie I. Bice,Republican,OK,N01,Food & Beverage,18500,3,0.96
B000740,Stephanie I. Bice,Republican,OK,M02,Automotive,21000,4,1.09
B000740,Stephanie I. Bice,Republican,OK,B12,Computer/Internet,11500,5,0.6
B000740,Stephanie I. Bice,Republican,OK,N00,Misc Business,2500,1,0.13
B000740,Stephanie I. Bice,Republican,OK,C50,Building Materials & Equipment,11000,2,0.57
B000740,Stephanie I. Bice,Republican,OK,B08,Telecom Services & Equipment,40500,5,2.11
B000740,Stephanie I. Bice,Republican,OK,M01,Air Transport,10000,4,0.52
B000740,Stephanie I. Bice,Republican,OK,H03,Health Services/HMOs,1000,1,0.05
B000740,Stephanie I. Bice,Republican,OK,H01,Health Professionals,6500,3,0.34
B000740,Stephanie I. Bice,Republican,OK,F10,Real Estate,12000,1,0.62
B000740,Stephanie I. Bice,Republican,OK,E12,Electric Utilities,8500,2,0.44
B000740,Stephanie I. Bice,Republican,OK,B09,Electronics Mfg & Services,6000,1,0.31
V000134,Beth Van Duyne,Republican,TX,H03,Health Services/HMOs,32500,6,1.75
V000134,Beth Van Duyne,Republican,TX,D01,Defense Aerospace,33000,6,1.77
V000134,Beth Van Duyne,Republican,TX,F09,Mortgage Bankers & Brokers,68500,8,3.68
V000134,Beth Van Duyne,Republican,TX,F03,Securities & Investment,24500,5,1.32
V000134,Beth Van Duyne,Republican,TX,H04,Pharmaceuticals/Health Products,26000,13,1.4
V000134,Beth Van Duyne,Republican,TX,H01,Health Professionals,25500,6,1.37
V000134,Beth Van Duyne,Republican,TX,E01,Oil & Gas,62000,12,3.33
V000134,Beth Van Duyne,Republican,TX,F10,Real Estate,53266,4,2.86
V000134,Beth Van Duyne,Republican,TX,M02,Automotive,14500,2,0.78
V000134,Beth Van Duyne,Republican,TX,N00,Misc Business,4000,1,0.21
V000134,Beth Van Duyne,Republican,TX,C50,Building Materials & Equipment,11500,1,0.62
V000134,Beth Van Duyne,Republican,TX,B08,Telecom Services & Equipment,45000,5,2.42
V000134,Beth Van Duyne,Republican,TX,B12,Computer/Internet,5000,2,0.27
V000134,Beth Van Duyne,Republican,TX,M01,Air Transport,17500,4,0.94
V000134,Beth Van Duyne,Republican,TX,E12,Electric Utilities,12500,1,0.67
